nu,[0]CH4-HITRAN:X=0.0001-T=300K-P=0.13157894736842105atm-L=100cm
2506,2.183926630072806e-8
2506.01,2.0608658547777653e-8
2506.02,2.0292496333786558e-8
2506.03,2.1061064225686386e-8
2506.04,2.160105262454295e-8
2506.05,2.097509754565906e-8
2506.06,2.1756622851285737e-8
2506.07,2.3974567063664673e-8
2506.08,3.110124284292079e-8
2506.09,6.005542355002334e-8
2506.1,5.3613078193068385e-8
2506.11,3.4477115091002856e-8
2506.12,3.6137899437512317e-8
2506.13,3.954297434405775e-8
2506.14,4.445050126849192e-8
2506.15,5.7093523095935744e-8
2506.16,8.283360241068386e-8
2506.17,1.4351290930702325e-7
2506.18,3.451237743840685e-7
2506.19,0.000001366836822926287
2506.2,0.0000018324904125425635
2506.21,4.836069051086322e-7
2506.22,1.9140338958118193e-7
2506.23,1.4709421008374903e-7
2506.24,2.2387766293328468e-7
2506.25,1.451903937007563e-7
2506.26,6.933566994446611e-8
2506.27,4.556103787007979e-8
2506.28,3.750186376259195e-8
2506.29,3.572279136355979e-8
2506.3,4.2113005414807486e-8
2506.31,7.68359924117295e-8
2506.32,1.1575397622017343e-7
2506.33,7.08703213469819e-8
2506.34,4.472019910014909e-8
2506.35,3.760160176197751e-8
2506.36,3.7137799192725436e-8
2506.37,5.4042605518803385e-8
2506.38,9.795289703917758e-8
2506.39,6.062750829747912e-8
2506.4,3.344889332609962e-8
2506.41,2.5208502825379696e-8
2506.42,2.4503950058391834e-8
2506.43,2.95029802721613e-8
2506.44,4.5575412039256915e-8
2506.45,3.3645480079575717e-8
2506.46,4.047102923637354e-8
2506.47,2.844101783449331e-8
2506.48,2.791911685289835e-8
2506.49,3.36294813211635e-8
2506.5,4.7882832957057814e-8
2506.51,3.734633116996161e-8
2506.52,3.03471797855166e-8
2506.53,3.198204807725182e-8
2506.54,4.611647536933296e-8
2506.55,9.523172548803316e-8
2506.56,1.064205756856385e-7
2506.57,6.467259792547556e-8
2506.58,4.89195342876123e-8
2506.59,4.1405481567950285e-8
2506.6,4.7856011632833484e-8
2506.61,7.387306772712365e-8
2506.62,1.0836448803676603e-7
2506.63,2.1280425865337995e-7
2506.64,7.492834853057992e-7
2506.65,7.425341943635088e-7
2506.66,2.085759390673386e-7
2506.67,9.348325550967341e-8
2506.68,6.184769054971945e-8
2506.69,5.0368685047891496e-8
2506.7,4.845890606293677e-8
2506.71,5.3005162775962664e-8
2506.72,6.798180993844488e-8
2506.73,1.0786648312335137e-7
2506.74,2.4604810918109864e-7
2506.75,7.741606524855749e-7
2506.76,0.000001235548999124289
2506.77,3.7894522394604726e-7
2506.78,1.5487561966513973e-7
2506.79,8.77503206407061e-8
2506.8,5.585666385544491e-8
2506.81,4.1265789304414796e-8
2506.82,3.443777422574737e-8
2506.83,3.075385060608021e-8
2506.84,2.884151226137299e-8
2506.85,2.7511940215863606e-8
2506.86,2.622235840651682e-8
2506.87,2.5629110162816457e-8
2506.88,2.5469102818017993e-8
2506.89,2.68863873670924e-8
2506.9,3.204351002586263e-8
2506.91,4.0916378456457163e-8
2506.92,3.393986149766274e-8
2506.93,3.348582767180743e-8
2506.94,3.9720059586440326e-8
2506.95,5.5171968294933003e-8
2506.96,5.734484751604749e-8
